customer_id,name,email,quality_score,total_transactions,successful_transactions,failed_transactions,average_transaction_value,lifetime_value
1,Jeffrey Chen,tammymitchell@example.net,0.796,39,31,8,2340.0,72539.91
2,Susan Wilkerson,webbanthony@example.com,0.859,3,2,1,298.81,597.61
3,Kristin Bautista,lindsaylarson@example.net,0.766,22,16,6,233.92,3742.69
4,Brian Jackson,vargasapril@example.net,0.801,16,12,4,1317.3,15807.63
5,Claudia Tucker,perrymary@example.org,0.857,3,2,1,4327.71,8655.43
6,Lucas Morrison,lwilson@example.org,0.395,14,5,9,4080.31,20401.54
7,David Griffin,jonesdavid@example.net,0.726,7,5,2,3127.98,15639.92
8,Paul Ford,ann79@example.org,0.64,4,2,2,1696.21,3392.43
9,Leslie Gomez,simpsonnicholas@example.com,0.785,26,20,6,2358.82,47176.4
10,David Daniels,xstephens@example.org,0.813,14,11,3,1140.72,12547.9
11,Samuel Sandoval,rjones@example.com,0.772,24,18,6,1912.42,34423.49
12,Frank Smith,donaldthompson@example.net,0.953,1,0,1,275.05,0.0
13,Jasmine Ramirez,rebeccawong@example.com,0.788,17,13,4,3614.44,46987.74
14,Jodi Morrison,travis90@example.org,0.592,28,16,12,4342.9,69486.34
15,Robin Lowe,briana58@example.com,0.374,24,8,16,3396.43,27171.42
16,Charles Gutierrez,jacksonbrittany@example.com,0.435,47,20,27,3623.57,72471.5
17,James Wilson,joshuagoodman@example.org,0.547,9,4,5,3611.18,14444.73
18,Michele Edwards,wconley@example.org,0.86,49,42,7,1708.91,71774.17
19,Megan Ramos,stevensmith@example.com,0.803,43,34,9,1174.69,39939.59
20,James Hart,carpenterdavid@example.com,0.658,42,27,15,4078.98,110132.4
21,Stacey Hoffman,chess@example.org,0.765,30,22,8,4439.75,97674.4
22,Gregory Sims,epotter@example.net,0.719,1,0,1,1294.09,0.0
23,Joel Martin,blake36@example.net,0.859,8,6,2,2763.63,16581.78
24,Anna Patterson,angelamorris@example.com,0.874,32,27,5,2690.19,72635.26
25,Edward Hunt,franklinpaul@example.org,0.409,39,15,24,2586.79,38801.89
26,Michael Baldwin,smorris@example.org,0.798,2,1,1,2172.98,2172.98
27,Breanna White,dholmes@example.org,0.766,44,33,11,2349.36,77528.85
28,Mindy Miller,cward@example.net,0.743,17,12,5,3695.44,44345.26
29,John Everett,jeremyrosales@example.com,0.951,48,45,3,4032.06,181442.55
30,Richard Morales,bowersamy@example.org,0.896,36,32,4,279.62,8947.89
31,Brandon Stafford,sferguson@example.com,0.539,33,17,16,2108.35,35841.88
32,James Edwards,manningtoni@example.com,0.819,23,18,5,2798.95,50381.1
33,Alicia Ryan,jordanjames@example.com,0.497,49,24,25,1360.89,32661.38
34,Amanda May,hesterruth@example.org,0.645,48,30,18,4263.97,127919.2
35,Christopher Miller,vargasangela@example.com,0.541,49,26,23,975.82,25371.26
36,Kevin Jones,ywilliams@example.net,0.632,35,22,13,4873.59,107218.9
37,Robert Thomas,simmonsphilip@example.net,0.822,41,33,8,1044.44,34466.56
38,Loretta Mejia,joneskevin@example.net,0.792,8,6,2,4276.27,25657.63
39,Ashley Webster,collinssarah@example.com,0.548,22,12,10,1371.15,16453.8
40,Benjamin Mullen,vwilliams@example.net,0.677,34,23,11,1880.38,43248.66
41,Antonio Smith,westadrian@example.com,0.692,48,33,15,1547.71,51074.34
42,Nina Morris,vmoore@example.com,0.761,29,22,7,1541.89,33921.57
43,Kelly Hodge,gomezclayton@example.org,0.692,46,31,15,4839.94,150038.24
44,Joseph Lam,fcampbell@example.org,0.891,18,16,2,2872.65,45962.34
45,John Grant,hensonkenneth@example.net,0.695,32,22,10,3421.49,75272.76
46,Charles Miller,kchristensen@example.net,0.731,40,29,11,3545.68,102824.59
47,Dr. Tyler Baker,moorezachary@example.com,0.409,35,14,21,1429.79,20017.11
48,Sarah Allen,michaelnunez@example.net,0.628,20,12,8,3319.83,39837.92
49,Jonathan Newton,daniel34@example.com,0.726,28,20,8,2978.55,59571.03
50,Kristin Benitez,cvaughn@example.net,0.915,22,20,2,3036.0,60719.99
51,Deanna Mclaughlin,amycarter@example.net,0.515,44,22,22,4833.21,106330.59
52,Steve Pugh,bryanwhite@example.com,0.841,35,29,6,3259.66,94530.24
53,Tiffany Simmons,michael82@example.com,0.441,28,12,16,3771.4,45256.86
54,Catherine Levy,cody33@example.net,0.76,12,9,3,2162.97,19466.77
55,Meghan Taylor,joshuaortiz@example.net,0.755,48,36,12,1077.76,38799.24
56,Katherine Stone,ellenboone@example.com,0.667,5,3,2,3136.26,9408.78
57,Jeremy Dalton,sdawson@example.net,0.652,29,18,11,757.15,13628.68
58,Ann Graham,lanceholmes@example.org,0.664,48,31,17,4073.18,126268.65
